date,map_views,search_views,directions,call_clicks,website_clicks,average_rating,review_count_change,review_count_by_rating_1,review_count_by_rating_2,review_count_by_rating_3,review_count_by_rating_4,review_count_by_rating_5
2025-01-01,193,98,8,1,13,0,0,0,0,0,0,0
2025-01-02,260,160,19,2,23,0,0,0,0,0,0,0
2025-01-03,262,174,27,4,30,0,0,0,0,0,0,0
2025-01-04,284,259,35,2,21,0,0,0,0,0,0,0
2025-01-05,624,481,20,5,37,0,0,0,0,0,0,0
2025-01-06,288,251,34,1,27,0,0,0,0,0,0,0
2025-01-07,201,102,24,1,20,0,0,0,0,0,0,0
2025-01-08,201,115,20,1,27,0,0,0,0,0,0,0
2025-01-09,214,92,23,3,26,0,0,0,0,0,0,0
2025-01-10,189,101,20,2,21,0,0,0,0,0,0,0
2025-01-11,249,111,27,1,36,0,0,0,0,0,0,0
2025-01-12,250,94,23,2,28,0,0,0,0,0,0,0
2025-01-13,250,117,39,1,41,0,0,0,0,0,0,0
2025-01-14,220,97,18,1,32,0,0,0,0,0,0,0
2025-01-15,219,89,13,0,27,0,0,0,0,0,0,0
