date,map_views,search_views,directions,call_clicks,website_clicks,average_rating,review_count_change,review_count_by_rating_1,review_count_by_rating_2,review_count_by_rating_3,review_count_by_rating_4,review_count_by_rating_5
2025-01-01,2957,998,1493,38,463,0,2,0,0,0,1,1
2025-01-02,3697,1315,2014,23,639,0,0,0,0,0,0,0
2025-01-03,3661,1301,2079,37,577,0,3,0,0,0,1,2
2025-01-04,3252,1133,1787,34,504,0,2,0,0,1,1,0
2025-01-05,3221,1189,1415,34,601,0,2,0,0,1,0,1
2025-01-06,2572,1217,1249,26,649,0,0,0,0,0,0,0
2025-01-07,2318,1065,1273,22,710,0,2,0,0,0,0,2
2025-01-08,2571,1386,1252,25,501,0,2,0,0,0,1,1
2025-01-09,2586,1411,1297,16,476,0,1,0,0,0,0,1
2025-01-10,3181,1574,1830,42,551,0,0,0,0,0,0,0
2025-01-11,3621,1303,2052,38,565,0,1,0,0,0,0,1
2025-01-12,3735,1266,2075,35,544,0,2,0,1,0,1,0
2025-01-13,3215,1112,1662,18,422,0,4,0,1,1,0,2
