date,map_views,search_views,directions,call_clicks,website_clicks,average_rating,review_count_change,review_count_by_rating_1,review_count_by_rating_2,review_count_by_rating_3,review_count_by_rating_4,review_count_by_rating_5
2025-01-01,64,17,10,0,0,0,0,0,0,0,0,0
2025-01-02,106,35,3,0,0,0,0,0,0,0,0,0
2025-01-03,104,30,2,0,3,0,0,0,0,0,0,0
2025-01-04,106,21,0,0,3,0,0,0,0,0,0,0
2025-01-05,79,23,1,0,2,0,0,0,0,0,0,0
2025-01-06,50,23,5,0,1,0,0,0,0,0,0,0
2025-01-07,55,18,1,0,1,0,0,0,0,0,0,0
2025-01-08,39,23,2,0,0,0,0,0,0,0,0,0
2025-01-09,58,18,14,1,2,0,0,0,0,0,0,0
2025-01-10,47,23,5,1,0,0,0,0,0,0,0,0
2025-01-11,82,21,3,0,1,0,0,0,0,0,0,0
2025-01-12,95,32,12,0,5,0,0,0,0,0,0,0
2025-01-13,75,16,2,0,3,0,0,0,0,0,0,0
2025-01-14,61,28,0,0,7,5,1,0,0,0,0,1
2025-01-15,63,14,4,0,3,0,0,0,0,0,0,0
2025-01-16,56,25,8,0,5,0,0,0,0,0,0,0
2025-01-17,59,17,1,0,2,0,0,0,0,0,0,0
2025-01-18,96,32,8,0,0,0,0,0,0,0,0,0
2025-01-19,104,32,24,4,5,0,0,0,0,0,0,0
2025-01-20,64,26,5,0,1,0,0,0,0,0,0,0
2025-01-21,60,37,8,0,1,0,0,0,0,0,0,0
2025-01-22,68,27,9,0,2,0,0,0,0,0,0,0
2025-01-23,49,14,4,0,2,0,0,0,0,0,0,0
2025-01-24,88,13,0,0,2,0,0,0,0,0,0,0
2025-01-25,112,25,9,0,4,0,0,0,0,0,0,0
2025-01-26,116,34,9,0,4,0,0,0,0,0,0,0
2025-01-27,60,16,8,0,0,0,0,0,0,0,0,0
2025-01-28,54,21,7,0,3,0,0,0,0,0,0,0
2025-01-29,73,28,7,0,3,0,0,0,0,0,0,0
2025-01-30,55,36,8,0,1,0,0,0,0,0,0,0
2025-01-31,71,33,4,0,1,0,0,0,0,0,0,0
2025-02-01,110,38,8,0,3,0,0,0,0,0,0,0
2025-02-02,93,29,13,0,1,0,0,0,0,0,0,0
2025-02-03,61,19,8,1,2,0,0,0,0,0,0,0
2025-02-04,78,9,8,0,0,0,0,0,0,0,0,0
2025-02-05,40,23,11,0,2,0,0,0,0,0,0,0
2025-02-06,49,15,9,0,1,0,0,0,0,0,0,0
2025-02-07,38,12,2,1,1,0,0,0,0,0,0,0
2025-02-08,67,18,4,2,8,0,0,0,0,0,0,0
2025-02-09,91,21,10,0,3,0,0,0,0,0,0,0
2025-02-10,68,20,0,0,1,0,0,0,0,0,0,0
2025-02-11,67,27,3,1,1,0,0,0,0,0,0,0
2025-02-12,65,19,8,0,0,0,0,0,0,0,0,0
2025-02-13,57,21,0,0,4,0,0,0,0,0,0,0
2025-02-14,89,26,11,0,2,0,0,0,0,0,0,0
2025-02-15,119,23,4,4,4,0,0,0,0,0,0,0
2025-02-16,103,19,9,1,4,3,1,0,0,1,0,0
2025-02-17,76,28,13,0,4,0,0,0,0,0,0,0
2025-02-18,58,26,4,0,3,0,0,0,0,0,0,0
2025-02-19,47,19,3,0,1,0,0,0,0,0,0,0
2025-02-20,48,30,5,0,3,0,0,0,0,0,0,0
2025-02-21,70,16,6,0,6,0,0,0,0,0,0,0
2025-02-22,89,31,3,1,2,0,0,0,0,0,0,0
2025-02-23,131,29,5,0,6,0,0,0,0,0,0,0
2025-02-24,110,19,1,0,4,0,0,0,0,0,0,0
2025-02-25,28,13,5,0,3,0,0,0,0,0,0,0
2025-02-26,56,28,7,0,4,0,0,0,0,0,0,0
2025-02-27,83,4,8,0,4,0,0,0,0,0,0,0
2025-02-28,66,17,8,0,3,0,0,0,0,0,0,0
2025-03-01,65,30,14,0,4,0,0,0,0,0,0,0
2025-03-02,96,33,14,0,11,0,0,0,0,0,0,0
2025-03-03,69,29,1,0,3,0,0,0,0,0,0,0
2025-03-04,78,19,4,0,0,0,0,0,0,0,0,0
2025-03-05,70,33,15,0,4,0,0,0,0,0,0,0
2025-03-06,58,20,5,0,4,0,0,0,0,0,0,0
2025-03-07,69,33,3,1,1,0,0,0,0,0,0,0
2025-03-08,133,36,8,0,4,0,0,0,0,0,0,0
2025-03-09,140,37,12,0,8,0,0,0,0,0,0,0
2025-03-10,100,23,13,0,3,0,0,0,0,0,0,0
2025-03-11,73,27,5,0,3,0,0,0,0,0,0,0
2025-03-12,71,36,10,1,2,0,0,0,0,0,0,0
2025-03-13,85,32,3,0,2,0,0,0,0,0,0,0
2025-03-14,77,29,6,0,3,0,0,0,0,0,0,0
2025-03-15,110,29,12,0,5,0,0,0,0,0,0,0
2025-03-16,127,41,2,1,7,5,1,0,0,0,0,1
2025-03-17,79,33,14,0,5,0,0,0,0,0,0,0
2025-03-18,99,24,15,1,1,0,0,0,0,0,0,0
2025-03-19,97,23,0,0,7,0,0,0,0,0,0,0
2025-03-20,139,41,0,0,6,0,0,0,0,0,0,0
2025-03-21,124,21,2,0,1,0,0,0,0,0,0,0
2025-03-22,169,51,5,10,7,0,0,0,0,0,0,0
2025-03-23,167,46,15,3,8,0,0,0,0,0,0,0
2025-03-24,108,30,0,0,4,0,0,0,0,0,0,0
2025-03-25,98,36,3,0,6,0,0,0,0,0,0,0
2025-03-26,106,38,10,1,5,0,0,0,0,0,0,0
2025-03-27,82,29,3,0,0,0,0,0,0,0,0,0
2025-03-28,97,34,8,0,3,0,0,0,0,0,0,0
2025-03-29,141,45,7,0,3,0,0,0,0,0,0,0
2025-03-30,128,49,7,0,7,0,0,0,0,0,0,0
2025-03-31,94,25,9,0,4,0,0,0,0,0,0,0
2025-04-01,89,29,2,0,5,0,0,0,0,0,0,0
2025-04-02,94,28,5,1,4,5,1,0,0,0,0,1
2025-04-03,80,22,12,0,1,0,0,0,0,0,0,0
2025-04-04,74,19,0,0,1,0,0,0,0,0,0,0
2025-04-05,133,38,12,0,7,0,0,0,0,0,0,0
2025-04-06,127,48,2,0,3,0,0,0,0,0,0,0
2025-04-07,98,38,6,0,2,0,0,0,0,0,0,0
2025-04-08,89,23,13,0,2,0,0,0,0,0,0,0
2025-04-09,82,42,2,0,2,0,0,0,0,0,0,0
2025-04-10,82,41,6,0,2,0,0,0,0,0,0,0
2025-04-11,75,36,8,0,3,0,0,0,0,0,0,0
2025-04-12,157,47,15,0,3,0,0,0,0,0,0,0
2025-04-13,113,58,15,1,4,0,0,0,0,0,0,0
2025-04-14,71,31,0,0,0,0,0,0,0,0,0,0
2025-04-15,84,35,4,2,2,0,0,0,0,0,0,0
2025-04-16,101,32,13,0,3,0,0,0,0,0,0,0
2025-04-17,99,26,2,1,4,0,0,0,0,0,0,0
2025-04-18,101,39,5,1,1,0,0,0,0,0,0,0
2025-04-19,206,44,12,0,5,0,0,0,0,0,0,0
2025-04-20,162,40,14,1,8,0,0,0,0,0,0,0
2025-04-21,141,38,8,0,8,0,0,0,0,0,0,0
2025-04-22,133,46,7,1,3,0,0,0,0,0,0,0
2025-04-23,126,39,0,0,8,0,0,0,0,0,0,0
2025-04-24,104,40,4,0,1,0,0,0,0,0,0,0
2025-04-25,143,43,24,0,1,0,0,0,0,0,0,0
2025-04-26,185,44,18,2,8,0,0,0,0,0,0,0
2025-04-27,297,64,17,0,11,0,0,0,0,0,0,0
2025-04-28,243,54,8,0,8,0,0,0,0,0,0,0
2025-04-29,247,75,14,0,12,0,0,0,0,0,0,0
