date,map_views,search_views,directions,call_clicks,website_clicks,average_rating,review_count_change,review_count_by_rating_1,review_count_by_rating_2,review_count_by_rating_3,review_count_by_rating_4,review_count_by_rating_5
2025-01-01,399,115,14,0,12,0,0,0,0,0,0,0
2025-01-02,490,153,30,1,20,0,1,0,0,1,0,0
2025-01-03,561,186,31,3,22,0,0,0,0,0,0,0
2025-01-04,468,151,20,1,10,0,1,0,0,0,1,0
2025-01-05,315,88,14,0,12,0,0,0,0,0,0,0
2025-01-06,234,77,9,1,1,0,1,0,0,0,0,1
2025-01-07,231,77,14,0,5,0,0,0,0,0,0,0
2025-01-08,196,65,18,1,8,0,0,0,0,0,0,0
2025-01-09,218,57,8,0,6,0,0,0,0,0,0,0
2025-01-10,210,63,10,1,2,0,1,0,0,0,1,0
2025-01-11,355,114,34,0,10,0,0,0,0,0,0,0
2025-01-12,457,148,26,1,8,0,0,0,0,0,0,0
2025-01-13,358,123,23,1,7,0,0,0,0,0,0,0
2025-01-14,246,86,15,0,2,0,0,0,0,0,0,0
2025-01-15,249,81,17,1,6,0,0,0,0,0,0,0
2025-01-16,245,81,12,0,4,0,0,0,0,0,0,0
2025-01-17,279,105,15,0,9,0,0,0,0,0,0,0
2025-01-18,438,165,20,0,7,0,0,0,0,0,0,0
2025-01-19,1409,505,52,4,16,0,1,0,0,0,1,0
2025-01-20,275,129,14,0,7,0,0,0,0,0,0,0
2025-01-21,259,101,8,2,5,0,0,0,0,0,0,0
2025-01-22,272,96,14,0,9,0,0,0,0,0,0,0
2025-01-23,274,110,21,0,9,0,0,0,0,0,0,0
2025-01-24,292,124,15,1,7,0,0,0,0,0,0,0
2025-01-25,462,175,39,1,8,0,0,0,0,0,0,0
2025-01-26,437,182,29,2,5,0,1,0,0,0,0,1
2025-01-27,305,125,27,1,5,0,0,0,0,0,0,0
