date,map_views,search_views,directions,call_clicks,website_clicks,average_rating,review_count_change,review_count_by_rating_1,review_count_by_rating_2,review_count_by_rating_3,review_count_by_rating_4,review_count_by_rating_5
2026-01-01,641,379,63,3,74,0,0,0,0,0,0,0
2026-01-02,671,443,90,4,109,5,1,0,0,0,0,1
2026-01-03,796,428,163,12,137,0,0,0,0,0,0,0
2026-01-04,742,411,199,6,84,4,1,0,0,0,1,0
2026-01-05,513,298,110,4,54,0,0,0,0,0,0,0
2026-01-06,488,292,100,6,42,0,0,0,0,0,0,0
2026-01-07,483,245,140,3,42,0,0,0,0,0,0,0
2026-01-08,417,206,63,4,26,5,1,0,0,0,0,1
2026-01-09,499,308,112,8,47,3,1,0,0,1,0,0
2026-01-10,800,383,212,18,85,3,1,0,0,1,0,0
2026-01-11,808,437,183,7,75,5,3,0,0,0,0,3
2026-01-12,602,280,136,4,60,0,0,0,0,0,0,0
2026-01-13,498,303,91,9,35,0,0,0,0,0,0,0
2026-01-14,490,250,101,5,36,4.67,3,0,0,0,1,2
2026-01-15,502,248,95,6,42,0,0,0,0,0,0,0
2026-01-16,552,316,119,2,51,5,2,0,0,0,0,2
2026-01-17,984,380,234,13,114,0,0,0,0,0,0,0
2026-01-18,937,384,229,6,97,0,0,0,0,0,0,0
2026-01-19,499,0,86,5,33,3,1,0,0,1,0,0
2026-01-20,435,190,79,4,26,0,0,0,0,0,0,0
2026-01-21,450,167,59,4,22,0,0,0,0,0,0,0
2026-01-22,420,164,57,2,30,4,1,0,0,0,1,0
2026-01-23,425,188,95,5,23,0,0,0,0,0,0,0
2026-01-24,537,217,104,8,58,0,0,0,0,0,0,0
2026-01-25,560,161,73,7,31,0,0,0,0,0,0,0
2026-01-26,400,190,63,2,33,0,0,0,0,0,0,0
2026-01-27,430,156,71,6,35,0,0,0,0,0,0,0
2026-01-28,449,151,89,2,30,5,1,0,0,0,0,1
2026-01-29,441,150,77,4,22,0,0,0,0,0,0,0
2026-01-30,447,159,80,3,36,0,0,0,0,0,0,0
2026-01-31,748,234,116,2,47,0,0,0,0,0,0,0
2026-02-01,56,17,13,0,4,3.7,0,0,0,0,0,0
2026-02-02,31,12,3,0,4,3.7,0,0,0,0,0,0
2026-02-03,47,17,9,1,8,3.7,0,0,0,0,0,0
2026-02-04,43,30,16,0,1,3.7,0,0,0,0,0,0
2026-02-05,50,16,5,1,4,3.7,0,0,0,0,0,0
2026-02-06,51,10,5,2,2,3.7,0,0,0,0,0,0
2026-02-07,67,21,10,0,7,3.7,0,0,0,0,0,0
2026-02-08,39,8,5,2,3,3.7,0,0,0,0,0,0
2026-02-09,0,0,0,0,0,3.7,0,0,0,0,0,0
2026-02-10,0,0,0,0,0,3.7,0,0,0,0,0,0
2026-02-11,0,0,0,0,0,3.7,0,0,0,0,0,0
