date,map_views,search_views,directions,call_clicks,website_clicks,average_rating,review_count_change,review_count_by_rating_1,review_count_by_rating_2,review_count_by_rating_3,review_count_by_rating_4,review_count_by_rating_5
2026-01-01,788,192,139,2,68,0,0,0,0,0,0,0
2026-01-02,718,146,107,2,64,0,0,0,0,0,0,0
2026-01-03,714,161,123,0,74,5,1,0,0,0,0,1
2026-01-04,707,141,188,2,50,0,0,0,0,0,0,0
2026-01-05,582,177,74,0,54,0,0,0,0,0,0,0
2026-01-06,580,168,61,2,36,0,0,0,0,0,0,0
2026-01-07,554,108,53,0,19,0,0,0,0,0,0,0
2026-01-08,376,102,38,0,25,0,0,0,0,0,0,0
2026-01-09,384,85,56,0,13,0,0,0,0,0,0,0
2026-01-10,555,109,69,1,20,4.5,2,0,0,0,1,1
2026-01-11,554,90,59,0,24,0,0,0,0,0,0,0
2026-01-12,544,106,68,0,36,0,0,0,0,0,0,0
2026-01-13,371,123,60,0,16,0,0,0,0,0,0,0
2026-01-14,352,116,44,0,41,0,0,0,0,0,0,0
2026-01-15,345,111,46,1,21,0,0,0,0,0,0,0
2026-01-16,374,161,35,3,29,0,0,0,0,0,0,0
2026-01-17,544,51,75,4,38,0,0,0,0,0,0,0
2026-01-18,536,78,89,0,54,0,0,0,0,0,0,0
2026-01-19,409,0,65,11,21,0,0,0,0,0,0,0
2026-01-20,357,96,41,2,30,0,0,0,0,0,0,0
2026-01-21,335,91,26,0,28,0,0,0,0,0,0,0
2026-01-22,321,94,36,1,19,0,0,0,0,0,0,0
2026-01-23,346,86,48,0,22,0,0,0,0,0,0,0
2026-01-24,533,67,57,0,35,0,0,0,0,0,0,0
2026-01-25,434,71,55,0,27,0,0,0,0,0,0,0
2026-01-26,507,110,64,1,35,4,1,0,0,0,1,0
2026-01-27,344,106,58,1,16,3,1,0,0,1,0,0
2026-01-28,353,115,69,2,20,0,0,0,0,0,0,0
2026-01-29,479,98,54,1,32,0,0,0,0,0,0,0
2026-01-30,404,93,56,2,27,0,0,0,0,0,0,0
2026-01-31,469,54,69,0,23,0,0,0,0,0,0,0
2026-02-01,551,65,74,3,27,0,0,0,0,0,0,0
2026-02-02,404,78,67,0,24,0,0,0,0,0,0,0
2026-02-03,420,102,59,1,21,0,0,0,0,0,0,0
2026-02-04,411,114,45,1,22,0,0,0,0,0,0,0
2026-02-05,397,81,54,2,12,0,0,0,0,0,0,0
2026-02-06,382,89,53,0,25,0,0,0,0,0,0,0
2026-02-07,614,58,106,3,23,0,0,0,0,0,0,0
2026-02-08,487,63,58,1,27,0,0,0,0,0,0,0
2026-02-09,416,79,46,2,24,0,0,0,0,0,0,0
2026-02-10,435,75,43,1,22,0,0,0,0,0,0,0
2026-02-11,402,62,94,0,38,5,1,0,0,0,0,1
2026-02-12,408,89,58,0,28,0,0,0,0,0,0,0
2026-02-13,462,119,66,1,15,0,0,0,0,0,0,0
2026-02-14,702,0,86,0,26,0,0,0,0,0,0,0
