date,map_views,search_views,directions,call_clicks,website_clicks,average_rating,review_count_change,review_count_by_rating_1,review_count_by_rating_2,review_count_by_rating_3,review_count_by_rating_4,review_count_by_rating_5
2026-01-01,5,2,1,0,0,0,0,0,0,0,0,0
2026-01-02,7,4,2,0,0,0,0,0,0,0,0,0
2026-01-03,3,4,5,0,0,0,0,0,0,0,0,0
2026-01-04,3,2,0,0,0,0,0,0,0,0,0,0
2026-01-05,2,6,0,0,0,0,0,0,0,0,0,0
2026-01-06,8,11,5,0,1,0,0,0,0,0,0,0
2026-01-07,10,7,3,3,0,0,0,0,0,0,0,0
2026-01-08,7,5,0,0,0,0,0,0,0,0,0,0
2026-01-09,5,4,8,4,0,0,0,0,0,0,0,0
2026-01-10,7,0,2,2,0,0,0,0,0,0,0,0
2026-01-11,2,4,0,0,1,0,0,0,0,0,0,0
2026-01-12,7,2,0,0,1,0,0,0,0,0,0,0
2026-01-13,5,8,0,1,0,0,0,0,0,0,0,0
2026-01-14,6,12,0,5,1,0,0,0,0,0,0,0
