date,map_views,search_views,directions,call_clicks,website_clicks,average_rating,review_count_change,review_count_by_rating_1,review_count_by_rating_2,review_count_by_rating_3,review_count_by_rating_4,review_count_by_rating_5
2026-01-01,11418,5459,3489,95,1768,4.4,5,0,0,1,1,3
2026-01-02,13388,5868,4885,167,2051,4.31,13,1,0,0,5,7
2026-01-03,13018,5749,4710,116,1720,4.3,10,0,1,1,2,6
2026-01-04,12393,5572,4432,96,1485,4.44,9,0,0,0,5,4
2026-01-05,9819,5099,3537,104,1049,4.5,6,0,0,1,1,4
2026-01-06,9500,4871,3403,60,984,4.56,9,0,0,1,2,6
2026-01-07,9177,4876,3232,63,942,4.6,5,0,0,0,2,3
2026-01-08,8881,5041,3152,60,1046,4.8,5,0,0,0,1,4
2026-01-09,9444,5358,3475,78,1103,4,4,0,0,2,0,2
2026-01-10,13257,4979,4739,103,1816,4.25,4,0,0,1,1,2
2026-01-11,13376,5607,4668,92,1474,4.22,9,0,1,0,4,4
2026-01-12,12291,4854,4627,74,1339,3.44,9,2,2,0,0,5
2026-01-13,9506,4970,3468,50,951,4.57,14,0,1,1,1,11
2026-01-14,9276,4756,3370,50,981,3.71,7,1,1,0,2,3
2026-01-15,9352,4652,3576,69,989,4.89,9,0,0,0,1,8
2026-01-16,9862,4850,3752,64,1011,3.71,7,1,1,0,2,3
2026-01-17,16501,3799,5307,105,1474,3.14,7,1,1,2,2,1
2026-01-18,14934,3706,5306,102,1399,3.88,8,0,2,1,1,4
2026-01-19,10241,1542,3621,68,982,4.11,9,0,0,2,4,3
2026-01-20,9785,3804,3478,70,1046,4,6,0,0,0,6,6
2026-01-21,9373,3538,3168,54,961,0,3,2,0,2,2,0
2026-01-22,9498,3689,3325,73,979,0,2,0,0,0,4,0
2026-01-23,9999,3896,3655,64,1055,0,2,0,0,2,2,0
2026-01-24,12545,3057,4419,67,1404,0,6,0,0,2,2,8
2026-01-25,11987,2995,4388,75,1331,0,2,0,0,0,0,4
2026-01-26,9863,3878,3679,69,1151,0,5,0,0,0,2,8
2026-01-27,9025,3614,3053,51,955,4,6,0,0,2,4,6
2026-01-28,8691,3443,3041,53,852,4.02,6,0,0,2,2,8
2026-01-29,8681,3319,3067,49,868,4.02,4,2,0,0,0,6
2026-01-30,9212,3507,3463,55,1002,4.02,3,0,0,4,0,2
2026-01-31,13046,3181,4714,58,1194,4.02,10,0,0,0,6,14
2026-02-01,12727,3262,4571,74,1279,4.02,12,2,0,4,10,8
2026-02-02,9152,3427,3369,56,896,4.02,7,0,2,8,2,2
2026-02-03,9091,3346,3312,47,879,4.02,7,0,0,0,6,8
2026-02-04,9346,3443,3386,49,861,4.02,4,0,0,0,2,6
2026-02-05,9377,3433,3257,71,807,4.03,5,0,0,0,4,6
2026-02-06,10243,3280,3616,74,888,4.03,5,0,0,0,4,6
2026-02-07,13016,2855,4627,93,1066,4.03,12,0,0,2,8,14
2026-02-08,11577,2865,4230,104,1178,4.03,12,2,0,6,2,14
2026-02-09,0,0,0,0,0,4.03,5,0,0,0,4,6
2026-02-10,0,0,0,0,0,4.03,2,0,0,0,0,4
2026-02-11,0,0,0,0,0,4.03,9,0,0,2,6,10
